,normalized_url,brand_name,product,created_at,rev_content,review_rating
42,javycoffee.com,Javy,Javy Coffee,2022-01-03T00:26:02.829Z,I was completely floored at how fabulous this coffee was. I always considered myself to be somewhat of a coffee snob and tried this already expecting to hate it and I loved it! Taste is so smooth whether I am having morning coffee or enjoying an iced latte. ,5
43,javycoffee.com,Javy,Limited Deal -> Javy Coffee,2022-01-02T16:15:24.982Z,"I was spending too much money on Starbucks every morning. Now I don’t even like Starbucks anymore. Only been back a handful of times since I’ve been a Javy customer probably 6 or so months back. It tastes just as good as a high quality roast, but easier to work with & way better than all the instant brands out there! Haha I’m actually enjoying a cup right now. ",5
44,javycoffee.com,Javy,Javy Coffee,2021-12-31T19:40:58.790Z,I was skeptical about buying but pleasantly surprised!!!,5
45,javycoffee.com,Javy,Javy Coffee,2021-12-31T15:21:56.954Z,"I’m not an avid fan of coffee, but Javy coffee  is my new fix. I love it not heavily sweeten and not bitter as a cold brew.  It’s smooth, refreshing I don’t have to add a lot of sugar to make it taste better. OMG this stuff is  fabulous  and  I don’t have bad reaction to my stomach and my taste buds love it as well.  I have found my new fix.  Thank you.",5
46,javycoffee.com,Javy,Free Mystery Flavor,2021-12-31T06:21:57.482Z,I really loved the mocha  mystery flavor.  It's my favorite so far. ,5
47,javycoffee.com,Javy,Black Friday Deal 4 - Buy 2 Get 2 Free,2021-12-31T06:19:47.887Z,"You can't beat this deal.  I really loved my free mystery mocha flavor, my favorite so far.  I'm waiting on my peppermint mocha to come.  I bet it will be delicious also. ",5
48,javycoffee.com,Javy,Javy Coffee,2021-12-30T03:29:35.922Z,Javy Coffee is the best coffee I've ever had it's so easy to use and I put 2.5 teaspoons In 16 ounces of cold spring water and viola ice coffee perfect no more coffee shops for me I'm drinking Javy every day ,5
49,javycoffee.com,Javy,Microdose - French Vanilla Coffee Concentrate,2021-12-30T01:17:37.705Z,"This was the best decision I made! My mornings are very hectic so to be able to make a great tasting cup of coffee in minutes is a life saver!!! I will never go back to a coffee pot or those coffee shops again. I am also able to get my protein shake in for the day by adding it to the coffee. I simply take 2 teaspoons of Javy, 12oz of water, scoop of protein and a teaspoon of caramel, shake until mixed and pour over ice....sooooo good!! Good job Javy for making a great product and making it super affordable. ",5
50,javycoffee.com,Javy,Javy Coffee,2021-12-29T19:41:14.708Z,I love to make iced coffee with my Caramel Javy!,5
51,javycoffee.com,Javy,Limited Sale - Javy Coffee - Subscription Club,2021-12-24T17:27:07.566Z,"I love Javy, such a convenient and great tasting way to enjoy my coffee.  This us my first time trying different flavors and I love them! Currently enjoying my morning cup 😊",5
52,javycoffee.com,Javy,Exclusive Deal - Free Straw Set,2021-12-24T15:40:35.065Z,Awesome deal this was and coffee concentrate is great way to have a fast cup of coffee during my overnight job ,5
53,javycoffee.com,Javy,First Time Customer Deal - Flavor B2G1,2021-12-24T07:26:27.933Z,Totally worth the try 💜💯🖤 no regrets! ,5
