,normalized_url,unibi_word,tfidf,avg_rating
5762,jot.co,start,4.216395324324493,5.0
5777,jot.co,stomach,4.216395324324493,5.0
5912,jot.co,taste_cold,4.216395324324493,4.333333333333333
6018,jot.co,time_coffee,4.216395324324493,5.0
6056,jot.co,trade,4.216395324324493,5.0
6125,jot.co,ultra,4.216395324324493,5.0
6237,jot.co,water_milk,4.216395324324493,5.0
6362,jot.co,zero,4.216395324324493,3.6666666666666665
3151,jot.co,absolutely_jot,2.8109302162163288,5.0
3192,jot.co,add_tablespoon,2.8109302162163288,5.0
3206,jot.co,adjust_flavor,2.8109302162163288,5.0
3248,jot.co,amazing_coffee,2.8109302162163288,5.0
3257,jot.co,amazon_coffee,2.8109302162163288,5.0
3258,jot.co,americano,2.8109302162163288,5.0
3326,jot.co,balance,2.8109302162163288,4.5
3328,jot.co,balanced,2.8109302162163288,5.0
3342,jot.co,basically,2.8109302162163288,4.5
3379,jot.co,beverage_make,2.8109302162163288,4.5
3395,jot.co,bit_pricey,2.8109302162163288,4.5
3399,jot.co,bitter_aftertaste,2.8109302162163288,5.0
3420,jot.co,bland,2.8109302162163288,1.5
3432,jot.co,bodied,2.8109302162163288,5.0
3434,jot.co,boil_water,2.8109302162163288,5.0
3435,jot.co,boiling,2.8109302162163288,5.0
3509,jot.co,buzz,2.8109302162163288,5.0
3554,jot.co,case,2.8109302162163288,5.0
3562,jot.co,change,2.8109302162163288,5.0
3572,jot.co,chef,2.8109302162163288,5.0
3598,jot.co,coconut_milk,2.8109302162163288,5.0
3620,jot.co,coffee_could,2.8109302162163288,5.0
3641,jot.co,coffee_flavored,2.8109302162163288,5.0
3670,jot.co,coffee_option,2.8109302162163288,4.5
3678,jot.co,coffee_pot,2.8109302162163288,5.0
3685,jot.co,coffee_requires,2.8109302162163288,5.0
3695,jot.co,coffee_super,2.8109302162163288,5.0
3706,jot.co,cold_milk,2.8109302162163288,5.0
3811,jot.co,cooking,2.8109302162163288,5.0
3862,jot.co,creamy,2.8109302162163288,5.0
3878,jot.co,cup_black,2.8109302162163288,5.0
3883,jot.co,cup_hot,2.8109302162163288,5.0
3906,jot.co,dairy,2.8109302162163288,3.5
3923,jot.co,decided_try,2.8109302162163288,5.0
3961,jot.co,delicious_without,2.8109302162163288,5.0
3962,jot.co,delivered,2.8109302162163288,5.0
3975,jot.co,dessert,2.8109302162163288,5.0
3984,jot.co,different_taste,2.8109302162163288,4.5
3990,jot.co,disappoint,2.8109302162163288,5.0
3994,jot.co,dish,2.8109302162163288,5.0
4016,jot.co,drink_black,2.8109302162163288,3.5
4037,jot.co,drip_coffee,2.8109302162163288,5.0
4089,jot.co,elixir,2.8109302162163288,4.5
4214,jot.co,fan_coffee,2.8109302162163288,5.0
4321,jot.co,found_jot,2.8109302162163288,5.0
4356,jot.co,full_bodied,2.8109302162163288,5.0
4389,jot.co,glad_decided,2.8109302162163288,5.0
4422,jot.co,gourmet,2.8109302162163288,3.5
4423,jot.co,gourmet_coffee,2.8109302162163288,3.5
4485,jot.co,hint_bitterness,2.8109302162163288,5.0
4489,jot.co,hold,2.8109302162163288,5.0
4516,jot.co,hot_beverage,2.8109302162163288,5.0
4545,jot.co,ice_latte,2.8109302162163288,5.0
4556,jot.co,iced_hot,2.8109302162163288,5.0
4575,jot.co,important,2.8109302162163288,5.0
4635,jot.co,jot_amazing,2.8109302162163288,5.0
4641,jot.co,jot_convenient,2.8109302162163288,5.0
4647,jot.co,jot_easy,2.8109302162163288,5.0
4680,jot.co,jot_quick,2.8109302162163288,5.0
4687,jot.co,jot_smooth,2.8109302162163288,4.5
