,canonical_brand_url,instagram_id,fct_date,fct_followers_count,fct_following_count,est_following_count,est_posts_count,est_followers_count,fct_posts_count,comments,likes,likes_per_post_pax,comments_per_post_pax,comments_per_post,likes_per_post,name
107,properwhiskey.com,7740896584,2019-11-01,640490.0,2.0,1.9970675,182.55621,635950.06,192.0,3255.0,162760.0,0.001401935547641785,2.803698825002464e-05,17.830124429914935,17.830124429914935,Proper 12
108,madremezcal.com,2263717464,2019-11-01,17100.0,201.0,197.66667,449.0,16993.334,450.0,49.0,4905.0,0.0006428565565362081,6.4220124913912735e-06,0.1091314031180401,0.1091314031180401,Madre Mezcal
109,teremana.com,16168990751,2019-11-01,,,,,,,,,,,,,Teremana
110,drinkonda.com,19344966306,2019-11-01,,,,,,,,,,,,,Onda
111,ghosttequila.com,2694491630,2019-11-01,,,1778.9725,853.69806,11757.134,,,,,,,,Ghost Tequila
112,teremana.com,16168990751,2019-12-01,,,,,,,,,,,,,Teremana
113,lossundays.com,2179286233,2019-12-01,13751.0,3689.0,3607.1814,359.17218,13177.545,370.0,404.0,9173.0,0.0019380911449016992,8.535798784915365e-05,1.1248087193230827,1.1248087193230827,Los Sundays
114,ghosttequila.com,2694491630,2019-12-01,11727.0,1841.0,1810.047,857.8571,11742.037,862.0,81.0,2081.0,0.00020659208234931364,8.041306424937244e-06,0.09442131844946874,0.09442131844946874,Ghost Tequila
115,drinkonda.com,19344966306,2019-12-01,,,,,,,,,,,,,Onda
116,properwhiskey.com,7740896584,2019-12-01,689897.0,2.0,1.9985344,204.78896,662936.75,227.0,110623.0,193077.0,0.0014221713191229879,0.000814829616346547,540.1804976645268,540.1804976645268,Proper 12
117,mezcalrosaluna.com,7617656729,2019-12-01,,,,,,,,,,,,,Rosaluna Mezcal
118,thelongdrink.com,7521961287,2019-12-01,5389.0,776.0,754.0745,397.19608,5348.718,404.0,158.0,4388.0,0.002065437164969722,7.43708003794932e-05,0.39778842181456764,0.39778842181456764,The Long Drink
119,madremezcal.com,2263717464,2019-12-01,17693.0,205.0,201.85715,451.2857,17393.143,453.0,44.0,4592.0,0.0005850220628068577,5.60561210006571e-06,0.09749921049410559,0.09749921049410559,Madre Mezcal
