,instagram_id,fct_date,canonical_brand_url,fct_followers_count,est_followers_count,fct_following_count,est_following_count,fct_posts_count,est_posts_count,execution_period,comments,likes
213,2694491630,2020-09-01,ghosttequila.com,,11830.914,,2014.5399,,878.7576,2021-12,,
168,2263717464,2020-09-01,madremezcal.com,22872.0,22287.408,271.0,263.7121,486.0,482.9458,2021-12,46.0,4977.0
111,16168990751,2020-09-01,teremana.com,,500282.1,,3.0,,58.126984,2021-12,,
76,7740896584,2020-09-01,properwhiskey.com,,716197.8,,1.5078092,,319.3825,2021-12,,
140,2179286233,2020-10-01,lossundays.com,,22880.367,,4198.032,,482.42792,2021-12,,
60,2263717464,2020-10-01,madremezcal.com,23505.0,22896.28,278.0,270.8569,495.0,488.97363,2021-12,31.0,3486.0
185,7740896584,2020-10-01,properwhiskey.com,712428.0,714312.94,3.0,2.253905,336.0,327.69125,2021-12,5277.0,111535.0
143,211618639,2020-10-01,dulcevidaspirits.com,21164.0,21095.713,4595.0,4720.537,1505.0,1502.953,2021-12,216.0,6920.0
128,16168990751,2020-10-01,teremana.com,561264.0,531013.1,3.0,3.0,72.0,65.11811,2021-12,1918.0,77230.0
92,7617656729,2020-10-01,mezcalrosaluna.com,9974.0,9974.0,156.0,156.0,80.0,80.0,2021-12,115.0,1570.0
68,2694491630,2020-10-01,ghosttequila.com,,11831.957,,2014.77,,878.8788,2021-12,,
173,2179286233,2020-11-01,lossundays.com,,23468.35,,4243.016,,493.21396,2021-12,,
35,7617656729,2020-11-01,mezcalrosaluna.com,10643.0,10420.0,229.0,204.66667,108.0,98.666664,2021-12,70.0,1342.0
219,2694491630,2020-11-01,ghosttequila.com,,11832.479,,2014.885,,878.9394,2021-12,,
243,2263717464,2020-11-01,madremezcal.com,24340.0,23618.184,286.0,278.42892,507.0,497.98737,2021-12,1424.0,5682.0
242,211618639,2020-11-01,dulcevidaspirits.com,21271.0,21183.357,4499.0,4609.768,1514.0,1508.4766,2021-12,140.0,4333.0
147,16168990751,2020-11-01,teremana.com,580239.0,555722.56,3.0,3.0,81.0,73.090195,2021-12,2185.0,108898.0
138,7740896584,2020-11-01,properwhiskey.com,,722622.7,,2.3769524,,339.84564,2021-12,,
195,2263717464,2020-12-01,madremezcal.com,25755.0,24686.625,302.0,290.2148,513.0,505.4939,2021-12,367.0,5891.0
21,2694491630,2020-12-01,ghosttequila.com,,11832.739,,2014.9425,,878.9697,2021-12,,
175,2179286233,2020-12-01,lossundays.com,24412.0,23940.176,4330.0,4286.5083,514.0,503.60696,2021-12,223.0,8402.0
99,7740896584,2020-12-01,properwhiskey.com,,736029.9,,2.1884763,,353.92282,2021-12,,
156,7617656729,2020-12-01,mezcalrosaluna.com,11254.0,10896.571,262.0,237.42857,141.0,122.85714,2021-12,76.0,1654.0
36,16168990751,2020-12-01,teremana.com,614988.0,585413.3,3.0,3.0,90.0,81.561646,2021-12,1720.0,93389.0
135,211618639,2020-12-01,dulcevidaspirits.com,21295.0,21239.178,4467.0,4538.384,1519.0,1513.7383,2021-12,173.0,4014.0
50,2263717464,2021-01-01,madremezcal.com,,25503.492,,297.6075,,491.74673,2021-12,,
172,7617656729,2021-01-01,mezcalrosaluna.com,11781.0,11368.267,267.0,253.2,168.0,146.93333,2021-12,37.0,1258.0
252,2694491630,2021-01-01,ghosttequila.com,,11832.87,,2014.9712,,878.98486,2021-12,,
150,2179286233,2021-01-01,lossundays.com,,25252.588,,4333.254,,513.55347,2021-12,,
32,16168990751,2021-01-01,teremana.com,641275.0,613371.44,3.0,3.0,101.0,91.29032,2021-12,2334.0,99573.0
28,7740896584,2021-01-01,properwhiskey.com,,751985.7,,1.844238,,368.9614,2021-12,,
182,211618639,2021-01-01,dulcevidaspirits.com,,21285.09,,4470.192,,1518.7025,2021-12,,
40,2263717464,2021-02-01,madremezcal.com,,26194.584,,302.8038,,467.3732,2021-12,,
81,2179286233,2021-02-01,lossundays.com,28718.0,26985.293,4430.0,4381.627,533.0,523.27673,2021-12,288.0,12998.0
247,7740896584,2021-02-01,properwhiskey.com,786446.0,769215.8,1.0,1.422119,400.0,384.4807,2021-12,871.0,109065.0
4,16168990751,2021-02-01,teremana.com,,640402.44,,3.0,,102.40059,2021-12,,
239,2694491630,2021-02-01,ghosttequila.com,,11832.935,,2014.9856,,878.99243,2021-12,,
93,7617656729,2021-02-01,mezcalrosaluna.com,,11694.322,,269.78494,,171.74193,2021-12,,
197,211618639,2021-02-01,dulcevidaspirits.com,,21326.045,,4403.5957,,1523.518,2021-12,,
0,16168990751,2021-03-01,teremana.com,693539.0,666977.2,3.0,3.0,126.0,114.20318,2021-12,1580.0,100274.0
3,7740896584,2021-03-01,properwhiskey.com,,774997.7,,1.2110596,,397.74036,2021-12,,
31,2694491630,2021-03-01,ghosttequila.com,,11832.968,,2014.9928,,878.9962,2021-12,,
131,211618639,2021-03-01,dulcevidaspirits.com,21403.0,21364.521,4272.0,4337.798,1533.0,1528.2589,2021-12,116.0,2489.0
118,2179286233,2021-03-01,lossundays.com,29425.0,28205.146,4465.0,4423.3135,541.0,532.13837,2021-12,298.0,13458.0
72,2263717464,2021-03-01,madremezcal.com,27451.0,26822.795,311.0,306.90192,408.0,437.6865,2021-12,84.0,4811.0
189,7617656729,2021-03-01,mezcalrosaluna.com,,11960.825,,286.99472,,197.26984,2021-12,,
248,2179286233,2021-04-01,lossundays.com,,29300.656,,4467.1567,,541.5692,2021-12,,
236,211618639,2021-04-01,dulcevidaspirits.com,,21540.094,,4341.0654,,1533.4628,2021-12,,
180,16168990751,2021-04-01,teremana.com,702182.0,684581.75,3.0,3.0,138.0,126.10304,2021-12,4719.0,81857.0
82,7617656729,2021-04-01,mezcalrosaluna.com,12438.0,12201.291,322.0,304.63516,249.0,223.33858,2021-12,97.0,1576.0
