source_name,tokenized_review,tokenized_review
credo,helpful,4
credo,important,4
credo,importantly,4
credo,instantly,4
credo,intense,4
credo,irritating,4
credo,lay,4
credo,layering,4
credo,lighter,4
credo,likely,4
credo,looked,4
credo,mark,4
credo,miracle,4
credo,must,4
credo,near,4
credo,negative,4
credo,neither,4
credo,non-greasy,4
credo,note,4
credo,oat,4
credo,oh,4
credo,oil-free,4
credo,organic,4
credo,original,4
credo,outdoor,4
credo,particularly,4
credo,perfection,4
credo,personally,4
credo,please,4
credo,powder,4
credo,previously,4
credo,promise,4
credo,radiant,4
credo,real,4
credo,reasonably,4
credo,regular,4
credo,repurchased,4
credo,retinol,4
credo,richie,4
credo,scar,4
credo,screen,4
credo,searching,4
credo,season,4
credo,self-reflect,4
credo,side,4
credo,silicone,4
credo,skeptical,4
credo,smelled,4
credo,smelling,4
credo,smoothing,4
credo,son,4
credo,spending,4
credo,struggle,4
credo,surprised,4
credo,switched,4
credo,t-zone,4
credo,taste,4
credo,thin,4
credo,thrilled,4
credo,tight,4
credo,tingling,4
credo,tired,4
credo,toned,4
credo,travel,4
credo,trouble,4
credo,typical,4
credo,underneath,4
credo,unscented,4
credo,upon,4
credo,usual,4
credo,waste,4
credo,weekly,4
credo,wet,4
credo,winner,4
credo,x,4
credo,yes,4
credo,zone,4
credo,across,3
credo,act,3
credo,adult,3
credo,adverse,3
credo,affect,3
credo,aging,3
credo,alternative,3
credo,anywhere,3
credo,appearance,3
credo,ask,3
credo,awful,3
credo,bare,3
credo,base,3
credo,blended,3
credo,blown,3
credo,book,3
credo,brighten,3
credo,broke,3
credo,build,3
credo,bummed,3
credo,burned,3
credo,burnt,3
credo,ceramides,3
credo,certain,3
credo,certainly,3
credo,changer,3
credo,claim,3
credo,climate,3
credo,competitor,3
credo,compostable,3
credo,con,3
credo,container,3
credo,course,3
credo,covid,3
credo,created,3
credo,crosspolymer,3
credo,current,3
credo,damage,3
credo,darkness,3
credo,daytime,3
credo,deeply,3
credo,degree,3
credo,delightful,3
credo,depending,3
credo,description,3
credo,desperate,3
credo,dewey,3
credo,disappeared,3
credo,dislike,3
credo,divine,3
credo,double-cleanse,3
credo,dozen,3
credo,drenched,3
credo,drunk,3
credo,early,3
credo,effectiveness,3
credo,elegant,3
credo,elephant,3
credo,eliminate,3
credo,enzyme,3
credo,essential,3
credo,even,3
credo,exfoliates,3
credo,expect,3
credo,experienced,3
credo,eyebrow,3
credo,fading,3
credo,fairly,3
credo,faster,3
credo,fav,3
credo,fell,3
credo,finger,3
credo,five,3
credo,flake,3
credo,flare,3
credo,fluid,3
credo,followed,3
credo,form,3
credo,formulation,3
credo,future,3
credo,general,3
credo,generally,3
credo,gifted,3
credo,given,3
credo,god,3
credo,half,3
credo,happening,3
credo,heal,3
credo,heard,3
credo,heat,3
credo,heaven,3
credo,heavenly,3
credo,hesitant,3
credo,highlighter,3
credo,horrible,3
credo,idea,3
credo,ilium,3
credo,imagine,3
credo,imperfection,3
credo,improving,3
credo,indie,3
credo,inflamed,3
credo,inflammation,3
credo,initial,3
credo,iridescent,3
credo,joy,3
credo,kid,3
credo,knew,3
credo,knowing,3
credo,learned,3
credo,lee,3
credo,level,3
credo,list,3
credo,living,3
credo,luminous,3
credo,luxurious,3
credo,magic,3
credo,make-up,3
credo,market,3
credo,match,3
credo,matter,3
credo,mature,3
credo,medication,3
credo,min,3
credo,mine,3
credo,mini,3
credo,minty,3
credo,mirror,3
credo,moment,3
credo,necessarily,3
credo,nervous,3
credo,nightly,3
credo,non-irritating,3
credo,non-toxic,3
credo,obvious,3
credo,occasional,3
credo,og,3
credo,oiliness,3
credo,ok,3
credo,pasty,3
credo,pea,3
credo,peeling,3
credo,perhaps,3
credo,period,3
credo,peroxide,3
credo,pigmented,3
credo,plan,3
credo,pleasantly,3
credo,pocket,3
credo,polly,3
credo,polyacrylate,3
credo,powering,3
credo,prep,3
credo,pricey,3
credo,prior,3
credo,protecting,3
credo,ran,3
credo,range,3
credo,reach,3
credo,react,3
credo,reasonable,3
credo,reference,3
credo,regimen,3
credo,relief,3
credo,rosacea,3
credo,rubbing,3
credo,sad,3
credo,saved,3
credo,saying,3
credo,seamlessly,3
credo,search,3
credo,set,3
credo,shimmery,3
credo,shine,3
credo,short,3
credo,show,3
credo,sitting,3
credo,solution,3
credo,somehow,3
credo,sooo,3
credo,spend,3
credo,spray,3
credo,starting,3
credo,stick,3
credo,stripping,3
credo,subside,3
credo,suggests,3
credo,sunblock,3
credo,suntegrity,3
credo,supple,3
credo,support,3
credo,sustainability,3
credo,sustainable,3
credo,tacky,3
credo,tag,3
credo,taking,3
credo,teen,3
credo,tinge,3
credo,toner,3
credo,topical,3
credo,touch,3
credo,turn,3
credo,vanilla-y,3
credo,visible,3
credo,waiting,3
credo,weekend,3
credo,whatsoever,3
credo,woke,3
credo,wore,3
credo,yellow,3
credo,yuni,3
credo,zinc-based,3
credo,ability,2
credo,abundance,2
credo,actual,2
credo,acure,2
credo,additional,2
credo,admit,2
credo,ago,2
credo,agree,2
credo,antibiotic,2
credo,anytime,2
credo,apparently,2
credo,arm,2
credo,asked,2
credo,attack,2
credo,attribute,2
credo,available,2
credo,avoid,2
credo,awake,2
credo,backpack,2
credo,baked,2
credo,basis,2
credo,bathroom,2
credo,bb,2
credo,bc,2
credo,became,2
credo,becomes,2
credo,benzoyl,2
credo,beware,2
credo,beyond,2
credo,bill,2
credo,biore,2
credo,birthday,2
credo,bite,2
credo,bliss,2
credo,blush,2
credo,body,2
credo,boost,2
credo,breathe,2
credo,brightened,2
credo,brightwave,2
credo,bunch,2
credo,butter,2
credo,buttery,2
credo,cake,2
credo,call,2
credo,calming,2
credo,cant,2
credo,caste,2
credo,causing,2
credo,cc,2
credo,cellular,2
credo,ceramide,2
credo,changing,2
credo,check,2
credo,chia,2
credo,choice,2
credo,citrus,2
credo,city,2
credo,clay,2
credo,cleansed,2
credo,clump,2
credo,cluster,2
credo,combine,2
credo,combined,2
credo,comfortable,2
credo,comment,2
credo,compare,2
credo,complain,2
credo,compliment,2
credo,concerned,2
credo,consider,2
credo,consistent,2
credo,content,2
credo,contest,2
credo,continued,2
credo,contributed,2
credo,convenient,2
credo,convert,2
credo,cool,2
credo,crazy,2
credo,creamier,2
credo,create,2
credo,creates,2
credo,creating,2
credo,curology,2
credo,cut,2
credo,dab,2
credo,dead,2
credo,dealing,2
credo,decide,2
credo,dehydrated,2
credo,deliver,2
credo,delivers,2
credo,dermatitis,2
credo,despite,2
credo,dew,2
credo,didnt,2
credo,diminishing,2
credo,directly,2
credo,disappear,2
credo,disappoint,2
credo,discoloration,2
credo,dissipates,2
credo,doesnt,2
credo,dot,2
credo,dramatic,2
credo,dramatically,2
credo,drastically,2
credo,dread,2
credo,duper,2
credo,duty,2
credo,ease,2
credo,edition,2
credo,elsewhere,2
credo,ended,2
credo,environment,2
credo,environmentally,2
credo,eo,2
credo,erase,2
credo,essence,2
credo,evening,2
credo,exacerbate,2
credo,exactly,2
credo,except,2
credo,exception,2
credo,excess,2
credo,exfoliant,2
credo,exfoliation,2
credo,experiencing,2
credo,fa,2
credo,fabulous,2
credo,family,2
credo,fight,2
credo,figure,2
credo,finishing,2
credo,fl,2
credo,flash,2
credo,fluffy,2
credo,foaming,2
credo,focus,2
credo,friendly,2
credo,fungal,2
credo,gel-like,2
credo,generous,2
credo,genetic,2
credo,giving,2
credo,glide,2
credo,glossier,2
credo,glossy,2
credo,gluten,2
credo,golden,2
credo,good,2
credo,goopy,2
credo,gosh,2
credo,grateful,2
credo,gray,2
credo,gritty,2
credo,hang,2
credo,happen,2
credo,hardly,2
credo,healed,2
credo,healing,2
credo,healthier,2
credo,hike,2
credo,hoped,2
credo,humid,2
credo,humidity,2
credo,hype,2
credo,i.e,2
credo,illuminating,2
credo,impression,2
credo,impressive,2
credo,improve,2
credo,indeed,2
credo,inexpensive,2
credo,inspired,2
credo,instant,2
credo,interview,2
credo,introduce,2
credo,itch,2
credo,itchy,2
credo,kinda,2
credo,kinskin,2
credo,lasted,2
credo,lasting,2
credo,later,2
credo,layered,2
credo,lemon,2
credo,light-medium,2
credo,lightest,2
credo,lightly,2
credo,lightness,2
credo,limited,2
credo,lock,2
credo,major,2
credo,man,2
credo,manages,2
credo,marie,2
credo,marshmallowy,2
credo,mascara,2
credo,matte-like,2
credo,mattifying,2
credo,maya,2
credo,meeting,2
credo,meow,2
credo,mess,2
credo,microplastic,2
credo,mineral-based,2
credo,minor,2
credo,moisturizer/sunscreen,2
credo,moved,2
credo,naturally,2
credo,nearly,2
credo,neutral,2
credo,no-makeup,2
credo,non-sticky,2
credo,non-tinted,2
credo,notable,2
credo,noticeably,2
credo,noticing,2
credo,nyc,2
credo,odd,2
credo,offer,2
credo,officially,2
credo,ointment,2
credo,older,2
credo,olive,2
credo,opaque,2
credo,opinion,2
credo,originally,2
credo,package,2
credo,pair,2
credo,park,2
credo,part,2
credo,passed,2
credo,pat,2
credo,percent,2
credo,percentage,2
credo,perioral,2
credo,permanent,2
credo,persistent,2
credo,pharmacy,2
credo,pick,2
credo,plain,2
credo,positive,2
credo,powerful,2
credo,pregnant,2
credo,prettiest,2
credo,prevent,2
credo,prevented,2
credo,prevents,2
credo,process,2
credo,professional,2
credo,properly,2
credo,providing,2
credo,purge,2
credo,purging,2
credo,quenched,2
credo,quicker,2
credo,random,2
credo,rating,2
credo,rave,2
credo,raving,2
credo,ray,2
credo,rd,2
credo,reactive,2
credo,reality,2
credo,realized,2
credo,reapplication,2
credo,recent,2
credo,reflection,2
credo,regarding,2
credo,regret,2
credo,rejuvenated,2
credo,removal,2
credo,remover,2
credo,reordered,2
credo,replaced,2
credo,replacement,2
credo,require,2
credo,research,2
credo,rest,2
credo,retinal,2
credo,reviewer,2
credo,ridiculously,2
credo,save,2
credo,scarring,2
credo,scary,2
credo,scrub,2
credo,searched,2
credo,seemed,2
credo,serious,2
credo,shared,2
credo,shimmer,2
credo,shipping,2
credo,sign,2
credo,simply,2
credo,single,2
credo,sit,2
credo,situation,2
credo,sized,2
credo,slick,2
credo,slowly,2
credo,smoothed,2
credo,smoothie,2
credo,soaking,2
credo,sometime,2
credo,soothed,2
credo,soothes,2
credo,sparkly,2
credo,spent,2
credo,sport,2
credo,squalane,2
credo,stain,2
credo,stickiness,2
credo,stingle,2
credo,stopped,2
credo,strange,2
credo,stress,2
credo,stronger,2
credo,success,2
credo,suffer,2
credo,sugar,2
credo,summertime,2
credo,sunburn,2
credo,sunburned,2
credo,supermellow,2
credo,swim,2
credo,switching,2
credo,target,2
credo,terrible,2
credo,thinking,2
credo,thoroughly,2
credo,till,2
credo,titanium,2
credo,together,2
credo,told,2
credo,tolerate,2
credo,toning,2
credo,toothpaste,2
credo,towards,2
credo,tower,2
credo,trace,2
credo,transition,2
credo,treat,2
credo,tricky,2
credo,trip,2
credo,tropical,2
credo,trust,2
credo,tub,2
credo,turned,2
credo,turning,2
credo,u,2
credo,uneven,2
credo,unhappy,2
credo,unless,2
credo,update,2
credo,upper,2
credo,vacation,2
credo,various,2
credo,velvety,2
credo,venus,2
credo,veronique,2
credo,vibe,2
credo,w,2
credo,walk,2
credo,washed,2
credo,washing,2
credo,website,2
credo,whipped,2
credo,whitecast,2
credo,williams,2
credo,wo,2
credo,workout,2
credo,world,2
credo,worn,2
credo,worry,2
credo,yr,2
credo,a-okay,1
credo,aahaa,1
credo,absolute,1
credo,accentuate,1
credo,accentuated,1
credo,accutane,1
credo,acid/retinal,1
credo,acne-haver,1
credo,acne/aging,1
credo,acne/pimples,1
credo,acneic,1
credo,acting,1
credo,action,1
credo,adapalene,1
credo,adapalene/curology,1
credo,addicted,1
credo,adding,1
credo,additionally,1
credo,addressed,1
credo,adequately,1
credo,adjust,1
credo,adjusting,1
credo,adorable,1
credo,advanced,1
credo,adventure,1
credo,advertises,1
credo,advice,1
credo,aesthetic,1
credo,affarid,1
credo,affective,1
credo,afraid,1
credo,african,1
credo,aftermath,1
credo,afternoon,1
credo,agave,1
credo,aggravate,1
credo,ah,1
credo,aid,1
credo,air,1
credo,aka,1
credo,alabaster,1
credo,all-natural,1
credo,allergic,1
credo,allergy,1
credo,allow,1
credo,allowing,1
credo,allows,1
credo,alternating,1
credo,altitude,1
credo,altogether,1
credo,amaze,1
credo,amazed,1
credo,american,1
credo,and/or,1
credo,animal,1
credo,anti-aging,1
credo,anxious,1
credo,anyway,1
credo,apparent,1
credo,appeared,1
credo,aqua,1
credo,arid,1
credo,article,1
credo,artist,1
credo,ashy,1
credo,aspect,1
credo,at-home,1
credo,attempt,1
credo,attracted,1
credo,autumn,1
credo,avoiding,1
credo,avoids,1
credo,awakened,1
credo,babo,1
credo,baby,1
credo,backup,1
credo,badly,1
credo,bahamas,1
credo,balanced,1
credo,balancing,1
credo,ball,1
credo,balm/gloss,1
credo,barefaced,1
credo,bash,1
credo,basically,1
credo,battle,1
credo,beachy,1
credo,beckons,1
credo,bedtime😊👄,1
credo,beforehand,1
credo,began,1
credo,beige,1
credo,beige/brown,1
credo,believer,1
credo,beloved,1
credo,beneficial,1
credo,benign/pleasant,1
credo,benzyl,1
credo,bet,1
credo,black,1
credo,bland,1
credo,blemish-prone,1
credo,blend-able,1
credo,block,1
credo,blot,1
credo,blue-ish,1
credo,blurring/illuminating,1
credo,blurry,1
credo,boat,1
credo,boomer,1
credo,borderline,1
credo,botanical,1
credo,bottom,1
credo,bough,1
credo,bouncy,1
credo,branding,1
credo,breaker,1
credo,breath,1
credo,breathable,1
credo,breathed,1
credo,breeze,1
credo,brightness,1
credo,bring,1
credo,broad,1
credo,brow,1
credo,brush,1
credo,bubble/have,1
credo,buck,1
credo,buckle,1
credo,budget,1
credo,bug,1
credo,buildup,1
credo,bummer,1
credo,burny,1
credo,buttah,1
credo,bybi,1
credo,cacao,1
credo,cakey,1
credo,called,1
credo,calmed,1
credo,calmer,1
credo,campfire,1
credo,candidate,1
credo,candy,1
credo,caramel,1
credo,carefully,1
credo,carry,1
credo,carrying,1
credo,cart,1
credo,cash,1
credo,castor,1
credo,caution,1
credo,caviar,1
credo,cell,1
credo,cemented,1
credo,cera,1
credo,cetaphil,1
credo,chance,1
credo,change/improve,1
credo,chap,1
credo,character,1
credo,cheap,1
credo,cheaper,1
credo,checked,1
credo,checking,1
credo,checkout,1
credo,cheekbone,1
credo,cheesy,1
credo,chemical-y,1
credo,child,1
credo,chin/jaw,1
credo,chin/mouth,1
credo,chnaged,1
credo,chocolate,1
credo,choosing,1
credo,christmas,1
credo,chronic,1
credo,citrus/earth,1
credo,clammy,1
credo,clarifying,1
credo,clarity,1
credo,clean/mineral,1
credo,cleaned,1
credo,cleaning,1
credo,clearing,1
credo,clearly,1
credo,client,1
credo,clinique,1
credo,cloth,1
credo,clothes,1
credo,clothing,1
credo,clumped,1
