,product_name,review_rating,tokenized_review,normalized_url
114,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,overflowed,1
113,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,opening,1
112,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,opened,1
129,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,anything,1
130,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,beautiful,1
131,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,buy,1
116,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,sink,1
150,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,summer❤️,1
142,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,pregnant,1
111,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,one,1
133,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,delicious,1
135,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,flavor,1
136,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,glass,1
138,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,lady,1
140,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,perfect,1
137,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,kid,1
141,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,picnic,1
143,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,really,1
145,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,replacement,1
146,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,reshresing,1
147,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,sickly,1
149,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,substitute,1
132,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,celebrating,1
66,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,little,2
80,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,really,2
57,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,drink,2
128,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,alcoholic,2
134,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,drink,2
62,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,grown-up,2
8,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,alcohol,2
144,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,refreshing,2
139,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,non,2
5,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",3.0,taste,2
4,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",3.0,sweet,2
152,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,taste,2
148,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,stuff,2
32,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,sweet,2
151,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,sweet,3
17,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,drink,3
122,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,taste,4
