,normalized_url,unibi_word,tfidf
255,jot.co,aftertaste_easy,1.4054651081081644
255,jot.co,tablespoon_per,1.4054651081081644
255,jot.co,personalize,1.4054651081081644
255,jot.co,doubtful_trying,1.4054651081081644
255,jot.co,doubtful,1.4054651081081644
255,jot.co,value_coffee,1.4054651081081644
255,jot.co,consistent,1.4054651081081644
256,jot.co,better_bought,1.4054651081081644
257,jot.co,irser_recieved,1.4054651081081644
257,jot.co,spoon_anyway,1.4054651081081644
257,jot.co,dranken,1.4054651081081644
257,jot.co,going_give,1.4054651081081644
257,jot.co,needle_say,1.4054651081081644
257,jot.co,finally_un,1.4054651081081644
257,jot.co,say_first,1.4054651081081644
257,jot.co,online_say,1.4054651081081644
257,jot.co,definitely_try,1.4054651081081644
257,jot.co,waiting_replacement,1.4054651081081644
257,jot.co,experience_going,1.4054651081081644
257,jot.co,replacement_replacement,1.4054651081081644
257,jot.co,coffee_ok,1.4054651081081644
257,jot.co,jot_opened,1.4054651081081644
257,jot.co,felt_safe,1.4054651081081644
257,jot.co,though_place,1.4054651081081644
257,jot.co,spoon_missing,1.4054651081081644
257,jot.co,placement_coffee,1.4054651081081644
257,jot.co,half_spoon,1.4054651081081644
257,jot.co,pamphlet,1.4054651081081644
257,jot.co,javi,1.4054651081081644
257,jot.co,place_spoon,1.4054651081081644
257,jot.co,frim_original,1.4054651081081644
257,jot.co,pamphlet_online,1.4054651081081644
257,jot.co,receive,1.4054651081081644
257,jot.co,photo_spoon,1.4054651081081644
257,jot.co,replacement_finally,1.4054651081081644
257,jot.co,tastebud,1.4054651081081644
257,jot.co,dranken_felt,1.4054651081081644
257,jot.co,dranken_half,1.4054651081081644
257,jot.co,irser,1.4054651081081644
257,jot.co,spoon_pamphlet,1.4054651081081644
257,jot.co,missing_box,1.4054651081081644
257,jot.co,worried_could,1.4054651081081644
257,jot.co,anyway_needle,1.4054651081081644
257,jot.co,little_bitter,1.4054651081081644
257,jot.co,first_receive,1.4054651081081644
257,jot.co,recieved,1.4054651081081644
257,jot.co,crappy,1.4054651081081644
257,jot.co,try_frim,1.4054651081081644
257,jot.co,original_placement,1.4054651081081644
257,jot.co,first_irser,1.4054651081081644
257,jot.co,photo,1.4054651081081644
257,jot.co,ok_little,1.4054651081081644
257,jot.co,still_missing,1.4054651081081644
257,jot.co,recieved_jot,1.4054651081081644
257,jot.co,opened,1.4054651081081644
257,jot.co,needle,1.4054651081081644
257,jot.co,placement,1.4054651081081644
257,jot.co,haha_definitely,1.4054651081081644
257,jot.co,missing_though,1.4054651081081644
257,jot.co,box_little,1.4054651081081644
257,jot.co,one_waiting,1.4054651081081644
257,jot.co,coffee_eaiting,1.4054651081081644
257,jot.co,little_worried,1.4054651081081644
257,jot.co,safe_try,1.4054651081081644
257,jot.co,un_dranken,1.4054651081081644
257,jot.co,poisoned_haha,1.4054651081081644
257,jot.co,bitter_tastebud,1.4054651081081644
257,jot.co,tastebud_overall,1.4054651081081644
257,jot.co,original,1.4054651081081644
257,jot.co,poisoned,1.4054651081081644
257,jot.co,say_replacement,1.4054651081081644
257,jot.co,give_javi,1.4054651081081644
257,jot.co,spoon_photo,1.4054651081081644
257,jot.co,opened_dranken,1.4054651081081644
257,jot.co,crappy_experience,1.4054651081081644
257,jot.co,eaiting_week,1.4054651081081644
257,jot.co,week_try,1.4054651081081644
257,jot.co,frim,1.4054651081081644
257,jot.co,replacement_spoon,1.4054651081081644
257,jot.co,try_one,1.4054651081081644
257,jot.co,spoon_still,1.4054651081081644
