Owner Role,Opportunity Owner,Account Name (DBA),Opportunity Name,Stage,Fiscal Period,Amount,Probability (%),Age,Fund/Close Date,Created Date,Next Step,Lead Source,Type,Website
Equity Fund,Aditi Dash,Lucy Pet Products,Lucy Pet Products - May 2020,Closed Passed,Q4-2020,,1/0/00,225,44196,43971,,Helio,,lucypetproducts.com
Equity Fund,Aditi Dash,Brami,Brami - May 2020,Closed Passed,Q4-2020,,1/0/00,228,44196,43968,,Helio,,bramisnacks.com
Equity Fund,Aditi Dash,Simple Kneads,Simple Kneads - June 2020,Closed Passed,Q4-2020,,1/0/00,211,44196,43985,,Helio,,simplekneads.com
Equity Fund,Aditi Dash,Hanacure,Hanacure - June 2020,Closed Passed,Q4-2020,,1/0/00,211,44196,43985,,Helio,,hanacure.com
Equity Fund,Aditi Dash,Oats Overnight,Oats Overnight - June 2020,Closed Passed,Q4-2020,,1/0/00,212,44196,43984,,Helio,,oatsovernight.com
Equity Fund,Aditi Dash,Coolway,Coolway - June 2020,Closed Passed,Q4-2020,,1/0/00,212,44196,43984,,Inbound,,coolway.ca
Equity Fund,Aditi Dash,Iris & Romeo,Iris & Romeo - June 2020,Closed Passed,Q4-2020,,1/0/00,206,44196,43990,,Inbound,,irisandromeo.com
Equity Fund,Aditi Dash,TaDAH Foods,TaDAH Foods - June 2020,Closed Passed,Q4-2020,,1/0/00,206,44196,43990,,Inbound,,tadahfoods.com
Equity Fund,Aditi Dash,RollinGreens,RollinGreens - June 2020,Closed Passed,Q4-2020,,1/0/00,206,44196,43990,,Helio,,rollingreens.com
Equity Fund,Aditi Dash,Solely,Solely - May 2020,Closed Passed,Q4-2020,,1/0/00,218,44196,43978,,Helio,,solely.com
Equity Fund,Aditi Dash,Hugs,Hugs - June 2020,Closed Passed,Q4-2020,,1/0/00,206,44196,43990,,Manual,,hugscbd.com
Equity Fund,Aditi Dash,Haus of Juxtapose,Haus of Juxtapose - June 2020,Closed Passed,Q4-2020,,1/0/00,206,44196,43990,,Inbound,,hausofjuxtapose.com
Equity Fund,Aditi Dash,natureofthings,natureofthings - June 2020,Closed Passed,Q4-2020,,1/0/00,202,44196,43994,,Helio,,natureofthings.com
Equity Fund,Aditi Dash,Alleyoop,Alleyoop - June 2020,Closed Passed,Q4-2020,,1/0/00,197,44196,43999,,Manual,,meetalleyoop.com
Equity Fund,Aditi Dash,Starface,Starface - June 2020,Closed Lost,Q4-2020,,1/0/00,197,44196,43999,,Manual,,starface.world
Equity Fund,Aditi Dash,Puracy,Puracy - August 2020,Closed Passed,Q4-2020,,1/0/00,143,44196,44053,,Helio,,puracy.com
Equity Fund,Aditi Dash,Wave Soda,Wave Soda - July 2020,Closed Passed,Q4-2020,,1/0/00,183,44196,44013,,Helio,,wavesoda.com
Equity Fund,Aditi Dash,Blenders + Bowls,Blenders + Bowls - June 2020,Closed Passed,Q4-2020,,1/0/00,190,44196,44006,,Inbound,,blendersandbowls.com
Equity Fund,Aditi Dash,Credo Foods,Credo Foods - June 2020,Closed Passed,Q4-2020,,1/0/00,190,44196,44006,,Helio,,credofoods.com
Equity Fund,Aditi Dash,Sunscoop,Sunscoop - June 2020,Closed Passed,Q4-2020,,1/0/00,190,44196,44006,,Manual,,sunscoop.com
Equity Fund,Aditi Dash,Upriver Cacao,Upriver Cacao - June 2020,Closed Passed,Q4-2020,,1/0/00,189,44196,44007,,Other Referral,,uprivercacao.com
Equity Fund,Aditi Dash,OrganiCare,OrganiCare - June 2020,Closed Passed,Q4-2020,,1/0/00,189,44196,44007,,Helio,,organicare.com
Equity Fund,Aditi Dash,Naya Foods,Naya Foods - August 2020,Closed Passed,Q4-2020,,1/0/00,146,44196,44050,,Inbound,,naya-foods.com
Equity Fund,Aditi Dash,Plant People,Plant People - July 2020,Closed Passed,Q4-2020,,1/0/00,183,44196,44013,,Helio,,plantpeople.co
Equity Fund,Aditi Dash,Glow Recipe,Glow Recipe - June 2020,Closed Lost,Q4-2020,,1/0/00,190,44196,44006,,Manual,,glowrecipe.com
Equity Fund,Aditi Dash,JOON X MOON,JOON X MOON - June 2020,Closed Passed,Q4-2020,,1/0/00,189,44196,44007,,Helio,,joonxmoon.com
Equity Fund,Aditi Dash,Monastery,Monastery - June 2020,Closed Passed,Q4-2020,,1/0/00,190,44196,44006,,Helio,,monasterymade.com
Equity Fund,Aditi Dash,Riversol Skin Care,Riversol Skin Care - June 2020,Closed Passed,Q4-2020,,1/0/00,190,44196,44006,,Helio,,riversol.com
Equity Fund,Aditi Dash,Lumasol,Lumasol - June 2020,Closed Passed,Q4-2020,,1/0/00,189,44196,44007,,Other Referral,,mylumasol.com
Equity Fund,Aditi Dash,Spa Girl Cocktails,Spa Girl Cocktails - June 2020,Closed Passed,Q4-2020,,1/0/00,189,44196,44007,,Manual,,spagirlcocktails.com
Equity Fund,Aditi Dash,Scotch Porter,Scotch Porter - June 2020,Closed Lost,Q4-2020,,1/0/00,189,44196,44007,,Helio,,scotchporter.com
Equity Fund,Aditi Dash,Saie,Saie - July 2020,Closed Lost,Q4-2020,,1/0/00,182,44196,44014,,Helio,,saiehello.com
Equity Fund,Aditi Dash,Huron,Huron - June 2020,Closed Passed,Q4-2020,,1/0/00,190,44196,44006,,Manual,,usehuron.com
Equity Fund,Aditi Dash,Killer Creamery,Killer Creamery - August 2020,Closed Passed,Q4-2020,,1/0/00,146,44196,44050,,Helio,,killercreamery.com
Equity Fund,Aditi Dash,Cardon,Cardon - June 2020,Closed Passed,Q4-2020,,1/0/00,190,44196,44006,,Helio,,cardonformen.com
Equity Fund,Aditi Dash,First Honey,First honey - June 2020,Closed Passed,Q4-2020,,1/0/00,190,44196,44006,,Helio,,firsthoney.com
Equity Fund,Aditi Dash,Lavva,Lavva - June 2020,Closed Passed,Q4-2020,,1/0/00,190,44196,44006,,Inbound,,lovvelavva.com
Equity Fund,Aditi Dash,Akua,Akua - May 2020,Closed Passed,Q4-2020,,1/0/00,239,44196,43957,,Helio,,akua.co
Equity Fund,Aditi Dash,Brainiac,Brainiac - May 2020,Closed Passed,Q4-2020,,1/0/00,238,44196,43958,,Inbound,,brainiackids.com
