,sff2022 company name,normalized_url,fct_date,score_date,parent_category,parent_category_hgp_score,overall_hgp_score,overall_feature_density,t12m_nielsen_sales,t12m_nielsen_sales_pct_growth,nielsen_feature_density,nielsen_score,parent_category_nielsen_score,nielsen_weight,offline_distribution_feature_density,offline_distribution_score,parent_category_offline_distribution_score,offline_distribution_weight,reviews_feature_density,reviews_score,parent_category_reviews_score,reviews_weight,social_feature_density,social_score,parent_category_social_score,social_weight,web_feature_density,web_score,parent_category_web_score,web_weight,overall_confidence,reliability_bucket
1122605,Nature’s Yoke | Utopihen Farms,naturesyoke.com,2021-12,2021-12,Food,0.0332248215329758,0.011508264111841547,0.14685314685314685,7053706.84375,-0.4985392322027048,,,,0.4,1.0,0.1766077326598018,0.18921627580677491,0.3,,,,0.1,,,,0.15,,,,0.05,0.3,medium_low
1125546,"Gennarro Auricchio, S.p.a",ambriola.com,2021-12,2021-12,Other,0.9955970461586862,0.9934913112164298,0.5034965034965035,810049.04296875,0.7801102279970131,1.0,0.6837611515516392,0.65925784603644,0.4,1.0,0.6685725387881984,0.6735229976209358,0.3,,,,0.1,,,,0.15,0.775,0.5764642580432753,0.5715604282597487,0.05,0.7403813950936043,high
1125643,Ambrosi Cheese USA,ambrosifoodusa.com,2021-12,2021-12,Food,0.8935910669043821,0.9204960165791843,0.4195804195804196,,,,,,0.4,,,,0.3,,,,0.1,0.5102040816326531,0.8768678491016864,0.8688091569447501,0.15,0.875,0.6077306049538834,0.6085963695224882,0.05,0.12320242667737635,low
1127056,American Food & Beverage Industries LLC,americanfoodbeverage.com,2021-12,2021-12,Non-Alcoholic Beverages,0.5766532746636056,0.5947486792709236,0.14685314685314685,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.525,0.6809603429475559,0.6784415087114685,0.05,0.025277794108938864,low
1127435,American Licorice Company,americanlicorice.com,2021-12,2021-12,Food,0.014147436498942552,0.003875724065297525,0.6573426573426573,5884.7610511779785,,1.0,0.22634229106233922,0.27275351164133155,0.4,1.0,0.14829720502928198,0.15709561034275407,0.3,1.0,0.2917054822210114,0.27913070283600494,0.1,,,,0.15,1.0,0.7273823379559874,0.7212539021852237,0.05,0.8500000000000003,high
1128486,"Americasia International, Inc.",americasia.net,2021-12,2021-12,Food,0.5160927090175471,0.5453304795393161,0.1048951048951049,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.375,0.6022210371007273,0.5738163371488033,0.05,0.01892216774510098,low
1128852,Amest Foods,amestfoods.com,2021-12,2021-12,Food,0.9695685753675807,0.9869520460683892,0.3706293706293706,,,,,,0.4,,,,0.3,,,,0.1,0.4489795918367347,0.9751734595414235,0.9679089866422605,0.15,0.775,0.971916475237045,0.9698664585501214,0.05,0.11169948215382669,low
1131319,"Amtrade, Inc.",amtradeinc.com,2021-12,2021-12,Food,0.5085714698175992,0.5178786797805297,0.27972027972027974,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,1.0,0.5594053108710484,0.5599093825875824,0.05,0.049999999999999996,low
1131687,Amyris Inc,amyris.com,2021-12,2021-12,Food,0.10638727885607871,0.0780804837860334,0.4755244755244755,,,,,,0.4,,,,0.3,,,,0.1,0.5714285714285714,0.11791113357533428,0.14267177960309094,0.15,1.0,0.40123557985659275,0.3981096080471731,0.05,0.1303395260284882,low
1132780,Ancavico,ancavico.com,2021-12,2021-12,Other,0.999265472134288,0.9987918938660415,0.5454545454545454,,,0.9,0.9113896338459855,0.9079461986072689,0.4,1.0,0.9061034166921091,0.9063243457573354,0.3,,,,0.1,0.1836734693877551,0.5850118320084547,0.5878167553431328,0.15,0.75,0.3649048792615907,0.37229966943472353,0.05,0.7452218065419374,high
1134272,Andre's Confiserie Suisse,andreschocolates.com,2021-12,2021-12,Food,0.6073508925155731,0.590642952997333,0.5944055944055944,,,,,,0.4,,,,0.3,,,,0.1,0.9183673469387755,0.46872444056426044,0.4843773532444362,0.15,1.0,0.7679556676886072,0.767263556480518,0.05,0.1844206927810994,low
1136160,Angel Planet Foods,angelplanetfoods.com,2021-12,2021-12,Food,0.793469081354978,0.8138429394078377,0.18181818181818182,,,,,,0.4,,,,0.3,,,,0.1,0.10204081632653061,0.5662201902311262,0.5757498522886569,0.15,0.525,0.9306302586459639,0.9241819863568043,0.05,0.041287360904746453,low
1139263,Annie's Ginger Elixir,anniesgingerelixir.com,2021-12,2021-12,Other,0.999029524368629,0.9984575922811667,0.5944055944055944,6996.543121337891,0.07187994492605476,0.9,0.7376717202123584,0.7203090718305829,0.4,1.0,0.9522051680590635,0.9516256938937351,0.3,,,,0.1,0.22448979591836735,0.8886424206221569,0.9014853844865568,0.15,0.875,0.19386135030838478,0.1966434910390539,0.05,0.753949919947463,high
1146354,Acetaia i Solai,isolai.it,2021-12,2021-12,Food,0.01297810756382587,0.0037343933139683027,0.5874125874125874,43076.337646484375,0.2390208247953769,1.0,0.1494718406217503,0.18077737156051568,0.4,1.0,0.36759277248882843,0.37091601523351375,0.3,0.9230769230769231,0.16669889090046228,0.1495838471023428,0.1,,,,0.15,0.775,0.2014238690573772,0.20110706440050874,0.05,0.8335415307298958,high
1147130,Tradizione Italiana Italian Food Tradition Scarl,italianfoodtradition.com,2021-12,2021-12,Food,0.28006871612013773,0.26811530686779117,0.27972027972027974,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,1.0,0.11585193720881667,0.12261533125216788,0.05,0.049999999999999996,low
1147212,G.m. Piccoli Spa - The Perla Company,italianpastryexcellence.com,2021-12,2021-12,Household Durables,0.9539076203469109,0.9550615774006693,0.26573426573426573,,,,,,0.4,,,,0.3,,,,0.1,0.32653061224489793,0.8942666452235446,0.9007940839382197,0.15,0.55,0.8236979101123137,0.7928967876675037,0.05,0.07950892021895561,low
1147228,Italian Products USA,italianproducts.com,2021-12,2021-12,Food,0.21433366295897965,0.18640370993222238,0.3356643356643357,,,,,,0.4,,,,0.3,,,,0.1,0.16326530612244897,0.1527294031153793,0.18346328069789264,0.15,1.0,0.8968545227841497,0.8845097699155972,0.05,0.07410128256188378,low
1147798,ITO EN (North America) INC.,itoen.com,2021-12,2021-12,Non-Alcoholic Beverages,0.044066067215101076,0.011898962102294927,0.9300699300699301,6637360.90625,0.38884911266931255,1.0,0.7151223249958951,0.7381095725466587,0.4,1.0,0.05703738654972383,0.07551766138855055,0.3,1.0,0.38520556131685796,0.36477007014809043,0.1,0.7959183673469388,0.20441804898221752,0.2158009893455099,0.15,1.0,0.6230597131174583,0.6174452741081116,0.05,0.9641418559688748,high
1152004,Jacquet North America Corp.,jacquetbakery.com,2021-12,2021-12,Food,0.012299608058264341,0.0036311131495354093,0.6923076923076923,1304486.0546875,0.8736333163698449,,,,0.4,1.0,0.11804379805156957,0.12993585888955703,0.3,1.0,0.09981895839558469,0.11636868064118372,0.1,0.5102040816326531,0.04790240316132886,0.07353128584172296,0.15,1.0,0.3077994447917425,0.3047462134350792,0.05,0.5220790985529737,medium_high
1153690,Bayonne Ham,jambon-de-bayonne.com,2021-12,2021-12,Other,0.24061545851111343,0.25135945913808627,0.24475524475524477,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.875,0.08571104001893776,0.08911494764761994,0.05,0.04501997736288133,low
1154311,Jamie's Farm,jamies-farm.com,2021-12,2021-12,Other,0.8198974188999778,0.8005340671660807,0.2937062937062937,,,,,,0.4,,,,0.3,,,,0.1,0.32653061224489793,0.525845471672104,0.5272947451142058,0.15,0.65,0.9875874017654833,0.9886121456397836,0.05,0.07892161228199251,low
1154549,Jamones Ibericos Blazquez,jamonesblazquez.com,2021-12,2021-12,Food,0.20038833269573628,0.17249078462348605,0.3916083916083916,,,,,,0.4,,,,0.3,,,,0.1,0.5102040816326531,0.36391582042916876,0.38831284683202616,0.15,0.775,0.18654915824251622,0.1891403630477512,0.05,0.11246049364657792,low
1155039,Jane Bakes Inc.,janebakes.com,2021-12,2021-12,Other,0.9992851344480929,0.9987932528155735,0.45454545454545453,,,0.5,0.902441026763724,0.8983115520366307,0.4,0.42857142857142855,0.7338810402731133,0.7405333068992863,0.3,,,,0.1,0.22448979591836735,0.8153816109911317,0.8264071216005565,0.15,0.875,0.779111870858641,0.7743530234851667,0.05,0.2606537310938333,medium_low
1155565,Jannis S.a.,jannis.gr,2021-12,2021-12,Food,0.8465219682260126,0.7551791265351883,0.4755244755244755,,,0.9,0.3767445678944776,0.44554550702328266,0.4,,,,0.3,,,,0.1,0.22448979591836735,0.9523181546661765,0.9394673123486683,0.15,0.975,0.5617255943388076,0.5454712972597988,0.05,0.45707857926993944,medium_high
1155917,Japan Gold USA,japangoldusa.com,2021-12,2021-12,Food,0.011058098324683668,0.002933972039613379,0.6573426573426573,182274.96955227852,-0.08887812185112987,1.0,0.15759947457719883,0.1892437944968251,0.4,1.0,0.1872380582308696,0.19893766285828823,0.3,1.0,0.15395567117220044,0.17663378545006164,0.1,,,,0.15,1.0,0.6857230121646524,0.7040842872008325,0.05,0.8500000000000003,high
1160714,"Fischer & Wieser Specialty Foods, Inc.",jelly.com,2021-12,2021-12,Food,0.0036884388015100225,0.0008772019229135878,0.8321678321678322,9939808.867499113,-0.17158817596488585,1.0,0.12109353620491489,0.14556474889359244,0.4,1.0,0.06845874156929141,0.07922429344558028,0.3,1.0,0.44871952612799465,0.4403514180024661,0.1,0.5102040816326531,0.10511648210265129,0.12249614791987673,0.15,1.0,0.5422538516637542,0.5452617354607469,0.05,0.9281824493144952,high
1160742,Jelly Belly Candy Company,jellybelly.com,2021-12,2021-12,Food,0.17194909810092318,0.07432162938048888,0.8321678321678322,80721527.79307115,0.05516069749098795,1.0,0.3925619834710744,0.4479507408120069,0.4,1.0,0.5293236004329845,0.5320705552214873,0.3,1.0,0.02409786792751305,0.02789765721331689,0.1,0.5102040816326531,0.6047603731103248,0.6009824252464752,0.15,1.0,0.5505561265755106,0.5554074170424327,0.05,0.9281824493144952,high
1163173,"Shrubbly, LLC",shrubbly.com,2021-12,2021-12,Other,0.8516099221653264,0.8340423652516604,0.20279720279720279,,,,,,0.4,,,,0.3,,,,0.1,0.061224489795918366,0.5828952809814824,0.5857452043852982,0.15,0.65,0.98099115761806,0.9824644463207228,0.05,0.039309918404883605,low
1163966,Sibas Gida Sanayi Ve Ticaret As,sibasfood.com,2021-12,2021-12,Food,0.9124879999422554,0.9410582819480542,0.46153846153846156,,,,,,0.4,,,,0.3,,,,0.1,0.5306122448979592,0.8498219455038368,0.8406686979389923,0.15,1.0,0.8375121337016582,0.8192059775696612,0.05,0.12838365854162384,low
1163973,Sibeiho LLC,sibeiho.com,2021-12,2021-12,Other,0.989740485546795,0.985328101377635,0.27972027972027974,,,,,,0.4,,,,0.3,,,,0.1,0.32653061224489793,0.9941730230207233,0.9972907514525334,0.15,0.6,0.8858472911999967,0.887668215298724,0.05,0.07968291883527731,low
1164871,Sierra Diablo,sierradiablo.com,2021-12,2021-12,Other,0.5508425301465404,0.5326389101224753,0.055944055944055944,,,,,,0.4,,,,0.3,,,,0.1,0.061224489795918366,0.5403999908100905,0.5406786648287234,0.15,0.125,0.45960727280642744,0.47142218931710805,0.05,0.015482641475648387,low
1167065,SILL,sill-entreprises.com,2021-12,2021-12,Food,0.2767339632311013,0.26696835346277326,0.24475524475524477,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.875,0.11381429161289972,0.11606110533009596,0.05,0.04501997736288133,low
1167511,THE SILVER CRANE COMPANY LIMITED,silvercrane.co.uk,2021-12,2021-12,Food,0.41453432557870956,0.17932562129473917,0.34265734265734266,,,0.9,0.47575392698812324,0.5449297671733693,0.4,,,,0.3,,,,0.1,,,,0.15,0.775,0.01003823604037606,0.013607064400508729,0.05,0.4163839482794338,medium_high
1167913,Silver Palate Kitchens Inc.,silverpalate.com,2021-12,2021-12,Food,0.00889267437076389,0.002346226367018295,0.6223776223776224,23818654.875,-0.05234595294778155,1.0,0.1287559520551694,0.1555705214546854,0.4,1.0,0.2924727303005912,0.29575065143315293,0.3,,,,0.1,0.16326530612244897,0.041072002940771034,0.0661515112897807,0.15,1.0,0.5493677550662244,0.5344476240027749,0.05,0.774101282561884,high
1170432,Simply Good Jars,simplygoodjars.com,2021-12,2021-12,Other,0.98665490673041,0.9909636650868878,0.7692307692307693,469817636.96875,0.3576791518958573,1.0,0.6154561874007991,0.5900982543165124,0.4,1.0,0.3605706514196897,0.3611946281820004,0.3,,,,0.1,0.5918367346938775,0.9706336442586041,0.9808845316465481,0.15,1.0,0.9954624887506046,0.996005962256835,0.05,0.8343920820985311,high
1171498,Simsek Biskuvi ve Gıda San A.S.,simsek.com.tr,2021-12,2021-12,Other,0.88503023782973,0.8644617710509775,0.43356643356643354,,,,,,0.4,,,,0.3,,,,0.1,0.4489795918367347,0.760347838073795,0.7697769990853226,0.15,1.0,0.6101427202211582,0.6222733281727875,0.05,0.11607067499606674,low
1171794,ALIMENTOS MAMINA SRL - ALFAJORES SIN CULPA,sinculpa.com,2021-12,2021-12,Food,0.9306631249954888,0.9569573119978256,0.2727272727272727,,,,,,0.4,,,,0.3,,,,0.1,0.3673469387755102,0.9719259752791435,0.9620700441396248,0.15,0.525,0.6087179668575634,0.5950651809457741,0.05,0.08146157873434011,low
1172450,Siouras S.a.,siouras.gr,2021-12,2021-12,Food,0.814531438346771,0.8433715537889211,0.3356643356643357,,,,,,0.4,,,,0.3,,,,0.1,0.22448979591836735,0.7522538252998208,0.7480218265231646,0.15,0.925,0.5206577333599078,0.510709330558446,0.05,0.07862558536497574,low
1173097,MEURENS & RODRIGUES SPRL,sirop-liege.com,2021-12,2021-12,Food,0.256299579185945,0.2172015831762048,0.3776223776223776,,,,,,0.4,,,,0.3,,,,0.1,0.5102040816326531,0.4115379313513762,0.43304331707543126,0.15,0.725,0.28119169105877984,0.27530278066828534,0.05,0.11025232297238226,low
1173826,Sitoglu,sitoglu.com.tr,2021-12,2021-12,Food,0.9010256891461733,0.9279715979547809,0.4405594405594406,,,,,,0.4,,,,0.3,,,,0.1,0.5306122448979592,0.7853604741993291,0.7788152971025406,0.15,0.925,0.9342817630889224,0.9273615446872471,0.05,0.1240818545078475,low
1177113,"Skinny Mixes, LLC",skinnymixes.com,2021-12,2021-12,Food,0.9607986083542056,0.9772844790976575,0.6853146853146853,,,,,,0.4,,,,0.3,1.0,0.7799553547888141,0.781288532675709,0.1,0.9183673469387755,0.7392213849193585,0.7438163976968616,0.15,1.0,0.9755775029777312,0.9730460168805642,0.05,0.28442069278109944,medium_low
1178838,The Good Life Foods Corporation-SkyeBurger,skyeburger.com,2021-12,2021-12,Other,0.37154750836350564,0.36996857429207225,0.03496503496503497,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.125,0.2916727604434864,0.2991454192194276,0.05,0.006938949123072038,low
1181486,Enterprise Greece S.A.,enterprisegreece.gov.gr,2021-12,2021-12,Other,0.8360008539061995,0.8100718544565051,0.24475524475524477,,,,,,0.4,,,,0.3,,,,0.1,0.22448979591836735,0.7907009603455406,0.8016799144583435,0.15,0.6,0.23876029791596234,0.250619897697563,0.05,0.061468162050248895,low
