,canonical_brand_url,instagram_id,fct_date,fct_followers_count,fct_following_count,est_following_count,est_posts_count,est_followers_count,fct_posts_count,sum(comments_count),sum(likes_count)
148,hellobubble.com,12011987834,2016-07-01,,,,,,,,
149,rosenskincare.com,2700700217578606056,2016-07-01,,,,,,,,
150,innbeautyproject.com,13337820465,2016-07-01,,,,,,,,
151,lovekinship.com,2706309817806813229,2016-07-01,,,,,,,,
152,cleanandclear.com,2683864880119081946,2016-07-01,,,135.75668,525.70056,51418.71,,,
153,neutrogena.com,2702576867654680863,2016-07-01,94213.0,174.0,174.96825,282.10052,87287.64,302.0,,
154,rosenskincare.com,2700700217578606056,2016-08-01,,,,,,,,
155,cerave.com,2702483799947922141,2016-08-01,,,,,,,,
156,cetaphil.com,327543926,2016-08-01,,,112.14815,170.92064,8786.138,,,
157,cleanandclear.com,2683864880119081946,2016-08-01,,,145.55458,532.8573,57236.703,,,
158,innbeautyproject.com,13337820465,2016-08-01,,,,,,,,
159,neutrogena.com,2702576867654680863,2016-08-01,113428.0,174.0,174.48032,310.7743,100460.734,339.0,,
160,hellobubble.com,12011987834,2016-08-01,,,,,,,,
161,lovekinship.com,2706309817806813229,2016-08-01,,,,,,,,
162,lovekinship.com,2706309817806813229,2016-09-01,,,,,,,,
163,hellobubble.com,12011987834,2016-09-01,,,,,,,,
164,cetaphil.com,327543926,2016-09-01,9731.0,119.0,115.60105,181.03937,9262.289,191.0,,
165,innbeautyproject.com,13337820465,2016-09-01,,,,,,,,
166,neutrogena.com,2702576867654680863,2016-09-01,,,174.40654,337.49152,110939.63,,,
167,rosenskincare.com,2700700217578606056,2016-09-01,,,,,,,,
168,cerave.com,2702483799947922141,2016-09-01,,,,,,,,
169,cleanandclear.com,2683864880119081946,2016-09-01,70366.0,168.0,156.78278,540.4323,63804.56,548.0,,
170,hellobubble.com,12011987834,2016-10-01,,,,,,,,
171,lovekinship.com,2706309817806813229,2016-10-01,,,,,,,,
172,rosenskincare.com,2700700217578606056,2016-10-01,,,,,,,,
173,neutrogena.com,2702576867654680863,2016-10-01,,,174.53685,363.29614,120110.4,,,
174,cetaphil.com,327543926,2016-10-01,,,117.056206,186.54118,9988.23,,,
175,cleanandclear.com,2683864880119081946,2016-10-01,,,162.39276,547.21783,67185.6,,,
176,innbeautyproject.com,13337820465,2016-10-01,,,,,,,,
177,cerave.com,2702483799947922141,2016-10-01,,,,,,,,
178,cetaphil.com,327543926,2016-11-01,11686.0,118.0,117.52903,189.7769,10838.776,193.0,,
179,lovekinship.com,2706309817806813229,2016-11-01,,,,,,,,
180,cerave.com,2702483799947922141,2016-11-01,,,,,,,,
181,innbeautyproject.com,13337820465,2016-11-01,,,,,,,,
182,cleanandclear.com,2683864880119081946,2016-11-01,70764.0,168.0,165.19672,553.6097,68975.02,560.0,,
183,neutrogena.com,2702576867654680863,2016-11-01,137154.0,175.0,174.76866,388.67285,128640.53,414.0,,
184,hellobubble.com,12011987834,2016-11-01,,,,,,,,
185,rosenskincare.com,2700700217578606056,2016-11-01,,,,,,,,
186,lovekinship.com,2706309817806813229,2016-12-01,,,,,,,,
187,neutrogena.com,2702576867654680863,2016-12-01,143612.0,175.0,174.88438,415.34946,136129.92,442.0,,
188,cetaphil.com,327543926,2016-12-01,,,117.5145,191.39003,11417.954,,,
189,innbeautyproject.com,13337820465,2016-12-01,,,,,,,,
190,hellobubble.com,12011987834,2016-12-01,,,,,,,,
191,rosenskincare.com,2700700217578606056,2016-12-01,,,,,,,,
192,cleanandclear.com,2683864880119081946,2016-12-01,71071.0,183.0,174.0989,558.8052,70023.08,564.0,,
193,cerave.com,2702483799947922141,2016-12-01,,,,,,,,
194,innbeautyproject.com,13337820465,2017-01-01,,,,,,,,
195,lovekinship.com,2706309817806813229,2017-01-01,,,,,,,,
196,cetaphil.com,327543926,2017-01-01,12306.0,117.0,117.257126,192.1954,11862.193,193.0,,
197,hellobubble.com,12011987834,2017-01-01,,,,,,,,
198,cleanandclear.com,2683864880119081946,2017-01-01,,,185.29979,565.4028,70587.555,,,
199,neutrogena.com,2702576867654680863,2017-01-01,151164.0,175.0,174.9422,441.18103,143648.8,467.0,,
200,cerave.com,2702483799947922141,2017-01-01,,,,,,,,
201,rosenskincare.com,2700700217578606056,2017-01-01,,,,,,,,
202,cetaphil.com,327543926,2017-02-01,12756.0,117.0,117.12853,192.59781,12309.206,193.0,,
203,hellobubble.com,12011987834,2017-02-01,,,,,,,,
204,neutrogena.com,2702576867654680863,2017-02-01,158662.0,175.0,174.9711,466.09357,151156.31,491.0,,
205,lovekinship.com,2706309817806813229,2017-02-01,,,,,,,,
